Area	Depth	PH	Wshed	Hions
5.200000000e+001	7.000000000e+000	6.700000000e+000	4.000000000e-001	2.000000000e-007
1.750000000e+002	2.500000000e+001	7.100000000e+000	9.000000000e-001	1.000000000e-007
1.910000000e+002	4.500000000e+001	6.700000000e+000	3.000000000e+000	2.000000000e-007
1.285000000e+003	6.000000000e+001	6.400000000e+000	8.000000000e+001	4.000000000e-007
1.240000000e+002	4.000000000e+001	7.500000000e+000	7.000000000e-001	0.000000000e+000
5.300000000e+001	2.300000000e+001	6.600000000e+000	7.000000000e-001	3.000000000e-007
1.250000000e+002	8.900000000e+001	6.800000000e+000	1.000000000e+000	2.000000000e-007
3.585000000e+003	3.900000000e+001	7.400000000e+000	1.000000000e+001	0.000000000e+000
2.110000000e+002	5.500000000e+001	7.200000000e+000	5.000000000e-001	1.000000000e-007
3.720000000e+002	2.800000000e+001	7.300000000e+000	1.400000000e+000	1.000000000e-007
3.300000000e+001	2.100000000e+001	6.000000000e+000	1.000000000e+000	1.000000000e-006
1.720000000e+002	3.300000000e+001	7.200000000e+000	2.000000000e+000	1.000000000e-007
7.160000000e+002	4.200000000e+001	7.000000000e+000	8.000000000e+000	1.000000000e-007
1.300000000e+002	7.000000000e+000	7.200000000e+000	2.000000000e+000	1.000000000e-007
6.100000000e+002	3.900000000e+001	7.000000000e+000	3.000000000e+000	1.000000000e-007
2.230000000e+002	7.000000000e+001	7.000000000e+000	1.500000000e+000	1.000000000e-007
1.352000000e+003	4.500000000e+001	6.900000000e+000	1.700000000e+001	1.000000000e-007
3.500000000e+001	1.400000000e+001	6.200000000e+000	4.000000000e-001	6.000000000e-007
1.320000000e+002	2.700000000e+001	7.000000000e+000	1.000000000e+000	1.000000000e-007
9.500000000e+001	3.300000000e+001	6.100000000e+000	9.000000000e-001	8.000000000e-007
7.700000000e+001	2.300000000e+001	7.600000000e+000	6.000000000e-001	0.000000000e+000
1.850000000e+002	3.100000000e+001	7.100000000e+000	1.200000000e+001	1.000000000e-007
9.700000000e+001	7.100000000e+001	6.800000000e+000	1.000000000e+000	2.000000000e-007
2.800000000e+001	3.800000000e+001	7.100000000e+000	4.000000000e-001	1.000000000e-007
