School	Tier	Type	Reputation	F.retention	a.grad.rate	Under.20	Over.50	Full.time	Top.10	Acc.rate	Alum.giving
Univ._of_Wisconsin_Madison	1	state	4.3	0.92	0.75	0.42	0.19	0.91	0.48	0.72	0.14
Brandeis_University	1	private	3.6	0.92	0.85	0.68	0.09	0.86	0.61	0.48	0.31
Univ._of_Southern_California_	1	private	3.8	0.94	0.73	0.58	0.14	0.84	0.8	0.34	0.26
U._of_Illinois_Urbana-Champaign	1	state	4.2	0.92	0.76	0.32	0.18	0.94	0.53	0.64	0.14
University_of_Rochester	1	private	3.4	0.94	0.71	0.62	0.1	0.96	0.53	0.5	0.21
Boston_College_	1	private	3.5	0.94	0.86	0.39	0.09	0.8	0.68	0.32	0.26
Case_Western_Reserve_Univ.	1	private	3.5	0.91	0.75	0.5	0.15	0.97	0.71	0.71	0.31
Lehigh_University	1	private	3.2	0.94	0.84	0.43	0.12	0.92	0.52	0.46	0.36
Georgia_Institute_of_Technology	1	state	4	0.87	0.69	0.19	0.25	1	0.6	0.57	0.35
University_of_California_Davis	1	state	3.9	0.91	0.73	0.32	0.27	0.95	0.95	0.63	0.13
University_of_California_Irvine	1	state	3.7	0.93	0.73	0.45	0.23	0.9	0.95	0.57	0.09
Yeshiva_University	1	private	3	0.84	0.88	0.67	0.01	0.92	NA	0.79	0.21
University_of_Washington	1	state	4	0.9	0.71	0.36	0.16	0.93	0.47	0.78	0.15
Pennsylvania_State_U._University_Park	1	state	3.8	0.93	0.8	0.3	0.2	0.95	0.44	0.48	0.21
Tulane_University	1	private	3.5	0.85	0.7	0.5	0.09	0.89	0.55	0.73	0.21
Pepperdine_University	1	private	3.1	0.87	0.68	0.7	0.01	0.77	0.69	0.36	0.2
Rensselaer_Polytechnic_Inst.	1	private	3.6	0.91	0.75	0.35	0.16	0.91	0.59	0.73	0.24
Texas_A&M_Univ._College_Station	1	state	3.6	0.88	0.69	0.4	0.15	0.96	0.53	0.66	0.22
Univ._of_California_Santa_Barbara	1	state	3.5	0.89	0.67	0.43	0.2	0.93	0.95	0.47	0.15
University_of_Texas_Austin	1	state	4.1	0.89	0.69	0.42	0.18	0.97	0.47	0.62	0.14
American_University	2	private	2.9	0.86	0.7	0.42	0.03	0.7	0.28	0.72	0.1
Auburn_University	2	state	3	0.81	0.67	0.35	0.13	0.97	0.24	0.85	0.24
Baylor_University	2	private	3.2	0.83	0.67	0.35	0.11	0.94	0.38	0.84	0.19
Boston_University_	2	private	3.4	0.86	0.7	0.59	0.11	0.88	0.57	0.49	0.12
Brigham_Young_Univ._Provo	2	private	3.1	0.9	0.71	0.35	0.18	0.9	0.56	0.64	0.21
Catholic_University_of_America	2	private	2.8	0.84	0.7	0.56	0.04	0.79	0.28	0.84	0.11
Clarkson_University	2	private	2.6	0.86	0.69	0.36	0.2	0.96	0.4	0.83	0.24
Clark_University	2	private	2.9	0.85	0.61	0.64	0.03	0.84	0.29	0.7	0.27
Clemson_University	2	state	3	0.84	0.71	0.23	0.11	0.94	0.37	0.64	0.23
Colorado_State_University	2	state	3	0.82	0.62	0.39	0.17	NA	0.24	0.78	0.09
Duquesne_University	2	private	2.6	0.89	0.74	0.4	0.08	0.74	0.54	0.84	0.16
Florida_State_University	2	state	3.2	0.85	0.61	0.31	0.16	0.91	0.57	0.54	0.13
Fordham_University	2	private	3.1	0.88	0.74	0.44	0.002	0.74	0.27	0.63	0.17
George_Washington_University	2	private	3.4	0.91	0.75	0.5	0.11	0.74	0.45	0.49	0.3
Howard_University	2	private	2.9	0.84	0.51	0.67	0.02	0.94	0.21	0.56	0.09
Illinois_Institute_of_Technology	2	private	3	0.86	0.45	0.69	0.04	0.77	0.53	0.65	0.2
Indiana_University_Bloomington	2	state	3.9	0.88	0.65	0.4	0.19	0.95	0.21	0.82	0.15
Iowa_State_University	2	state	3.4	0.84	0.62	0.36	0.19	0.95	0.25	0.91	0.17
Loyola_University_Chicago	2	private	2.8	0.83	0.65	0.52	0.02	0.73	0.29	0.8	0.13
Marquette_University	2	private	2.9	0.89	0.74	0.39	0.08	0.77	0.34	0.84	0.21
MCP_Hahnemann_University	2	private	2.6	0.77	NA	0.81	0.09	NA	NA	0.69	NA
Miami_University_Oxford	2	state	3.3	0.9	0.8	0.28	0.08	0.93	0.38	0.69	0.2
Michigan_State_University	2	state	3.6	0.88	0.66	0.22	0.24	0.96	0.24	0.69	0.12
Michigan_Technological_University	2	state	2.8	0.82	0.64	0.43	0.11	0.96	0.31	0.94	0.21
North_Carolina_State_U.	2	state	3.2	0.88	0.6	0.33	0.14	0.98	0.37	0.65	0.18
Ohio_State_University	2	state	3.8	0.82	0.55	0.45	0.17	0.91	0.32	0.72	0.17
Ohio_University	2	state	3.1	0.85	0.69	0.43	0.1	0.89	0.17	0.77	0.12
Purdue_Univ._West_Lafayette	2	state	3.9	0.87	0.64	0.32	0.18	0.99	0.27	0.78	0.17
Rutgers_Newark	2	state	2.9	0.86	0.55	0.42	0.12	0.87	0.29	0.52	0.13
Rutgers_New_Brunswick	2	state	3.3	0.88	0.75	0.3	0.23	0.87	0.32	0.58	0.18
Seton_Hall_University	2	private	2.7	0.8	0.62	0.56	0.01	0.73	0.15	0.88	0.19
Southern_Methodist_University	2	private	3.1	0.85	0.72	0.51	0.12	0.86	0.31	0.82	0.18
Stevens_Institute_of_Technology	2	private	2.7	0.87	0.53	0.36	0.15	0.74	0.53	0.54	0.29
St._Louis_University	2	private	2.9	0.87	0.67	0.52	0.04	0.86	0.36	0.67	0.17
SUNY_Albany	2	state	2.9	0.84	0.59	0.29	0.22	0.84	0.15	0.58	0.24
SUNY_Binghamton	2	state	3	0.91	0.82	0.48	0.14	0.85	0.53	0.42	0.14
SUNY_College_Environmental_Science_and_Forestry	2	state	2.6	0.86	0.71	0.7	0.09	0.99	0.22	0.57	0.21
SUNY_Stony_Brook	2	state	3.3	0.83	0.51	0.39	0.23	0.89	0.25	0.56	0.05
SUNY_University_at_Buffalo	2	state	3.1	0.83	0.56	0.46	0.16	0.84	0.22	0.68	0.09
Syracuse_University	2	private	3.3	0.91	0.74	0.67	0.06	0.82	0.4	0.58	0.2
Texas_Christian_University	2	private	2.8	0.82	0.63	0.49	0.06	0.86	0.34	0.76	0.28
University_of_Alabama	2	state	3	0.83	0.61	0.5	0.1	0.94	0.28	0.86	0.25
University_of_Arizona	2	state	3.7	0.77	0.53	0.37	0.14	0.99	0.33	0.84	0.12
Univ._of_California_Riverside	2	state	3.2	0.86	0.64	0.42	0.22	0.94	0.94	0.85	0.12
Univ._of_California_Santa_Cruz	2	state	3.3	0.85	0.64	0.39	0.19	0.88	0.96	0.8	0.1
University_of_Colorado_Boulder	2	state	3.7	0.83	0.64	0.46	0.14	0.83	0.21	0.86	0.13
University_of_Connecticut	2	state	3.2	0.87	0.68	0.43	0.13	0.92	0.23	0.67	0.22
University_of_Dayton	2	private	2.4	0.87	0.72	0.35	0.05	0.74	0.22	0.79	0.22
University_of_Delaware	2	state	3.2	0.87	0.71	0.4	0.14	0.94	0.3	0.49	0.24
University_of_Denver	2	private	2.6	0.84	0.68	0.63	0.04	0.79	0.33	0.78	0.22
University_of_Florida	2	state	3.6	0.91	0.69	0.28	0.23	0.99	0.66	0.62	0.18
University_of_Georgia	2	state	3.5	0.89	0.67	0.4	0.13	0.96	0.41	0.62	0.19
University_of_Iowa	2	state	3.7	0.83	0.66	0.45	0.11	0.98	0.2	0.83	0.13
University_of_Kansas	2	state	3.3	0.79	0.55	0.4	0.1	0.91	0.28	0.69	0.14
University_of_Kentucky	2	state	3	0.79	0.55	0.4	0.09	NA	0.31	0.8	0.15
Univ._of_Maryland_College_Park	2	state	3.7	0.89	0.64	0.37	0.14	0.91	0.52	0.51	0.14
Univ._of_Massachusetts	2	state	3.3	0.81	0.6	0.39	0.14	0.97	0.19	0.67	0.16
University_of_Miami	2	private	3.2	0.83	0.62	0.46	0.06	0.87	0.45	0.53	0.12
Univ._of_Minnesota	2	state	3.8	0.83	0.5	0.53	0.16	0.96	0.3	0.75	0.09
Univ._of_Missouri_Columbia	2	state	3.4	0.84	0.6	0.52	0.11	0.99	0.31	0.9	0.12
University_of_Missouri_Rolla	2	state	2.7	0.82	0.52	0.42	0.07	0.9	0.46	0.92	0.24
Univ._of_Nebraska_Lincoln	2	state	3.2	0.78	0.51	0.37	0.14	0.99	0.25	0.92	0.23
University_of_New_Hampshire	2	state	2.9	0.83	0.71	0.53	0.11	0.94	0.19	0.76	0.13
University_of_Oklahoma	2	state	3	0.81	0.49	0.41	0.12	0.92	0.31	0.86	0.18
University_of_Oregon	2	state	3.4	0.81	0.59	0.42	0.16	0.88	0.21	0.9	0.12
University_of_Pittsburgh	2	state	3.4	0.85	0.6	0.29	0.19	0.87	0.32	0.62	0.16
University_of_San_Diego	2	private	2.8	0.88	0.68	0.48	0.002	0.73	0.6	0.5	0.16
University_of_San_Francisco	2	private	2.9	0.84	0.64	0.61	0.02	0.9	0.23	0.8	0.16
Univ._of_South_Carolina_Columbia	2	state	3	0.81	0.55	0.4	0.1	0.99	0.3	0.69	0.24
University_of_St._Thomas	2	private	2.5	0.86	0.72	0.44	0.02	0.73	0.32	0.82	0.18
Univ._of_Tennessee_Knoxville	2	state	3.2	0.77	0.56	0.36	0.08	0.99	0.26	0.62	0.21
University_of_the_Pacific	2	private	2.5	0.86	0.59	0.54	0.06	0.84	0.42	0.76	0.13
University_of_Tulsa	2	private	2.5	0.78	0.53	0.58	0.01	0.89	0.5	0.75	0.18
University_of_Utah	2	state	3.2	0.73	0.54	0.44	0.16	0.95	0.26	0.94	0.13
University_of_Vermont	2	state	3	0.82	0.67	0.54	0.08	0.92	0.18	0.8	0.18
Virginia_Tech	2	state	3.4	0.88	0.72	0.23	0.16	0.93	0.37	0.61	0.18
Washington_State_University	2	state	3.1	0.84	0.57	0.46	0.16	0.95	NA	0.84	0.22
Worcester_Polytechnic_Inst.	2	private	2.8	0.9	0.72	0.72	0.08	0.86	0.45	0.71	0.25
Adelphi_University	3	private	2.3	0.71	0.51	0.47	0.01	0.61	0.21	0.7	0.04
Alabama_A&M_University	3	state	1.8	0.75	0.37	NA	NA	NA	NA	0.58	0.5
Andrews_University	3	private	2	0.71	0.46	0.69	0.06	0.97	0.18	0.54	0.25
Arizona_State_University	3	state	3.3	0.74	0.47	0.33	0.17	0.98	0.26	0.77	0.15
Ball_State_University	3	state	2.5	0.72	0.49	0.37	0.09	0.91	0.16	0.79	0.15
Bowling_Green_State_University	3	state	2.6	0.78	0.58	0.37	0.06	0.93	0.12	0.88	0.15
Clark_Atlanta_University	3	private	2.4	0.73	0.41	0.53	0.04	NA	NA	0.7	NA
DePaul_University	3	private	2.8	0.83	0.59	0.54	0.01	0.62	0.18	0.73	0.08
Drexel_University	3	private	2.9	0.84	0.56	0.45	0.11	0.77	0.22	0.78	0.21
Florida_Institute_of_Technology	3	private	2.4	0.76	0.56	0.53	0.04	0.85	0.34	0.82	0.08
George_Mason_University	3	state	3	0.74	0.48	0.37	0.15	0.79	NA	0.61	0.08
Hofstra_University	3	private	2.7	0.77	0.55	0.48	0.04	0.66	0.12	0.8	0.11
Indiana_Univ._of_Pennsylvania	3	state	2.2	0.73	0.49	0.36	0.08	0.97	0.2	0.58	0.13
Kansas_State_University	3	state	2.9	0.77	0.53	0.49	0.11	0.95	0.24	0.61	0.23
Louisiana_State_U._Baton_Rouge	3	state	2.8	0.82	0.54	0.32	0.21	0.97	0.26	0.78	0.26
Mississippi_State_University	3	state	2.4	0.78	0.48	0.41	0.09	0.96	0.26	0.71	0.14
Montana_State_University_Bozeman	3	state	2.5	0.7	0.44	0.5	0.11	0.9	0.17	0.84	0.25
New_Jersey_Inst._of_Technology	3	state	2.7	0.81	0.45	0.6	0.02	0.81	0.22	0.53	0.14
N.M._Inst._of_Mining_and_Tech.	3	state	2.5	0.74	0.39	0.6	0.07	0.95	0.41	0.68	0.1
New_Mexico_State_University	3	state	2.6	0.73	0.45	0.45	0.12	0.88	0.21	0.61	0.11
New_School_University	3	private	2.8	0.76	0.53	NA	NA	0.28	0.24	NA	0.07
Northeastern_University	3	private	2.8	0.8	0.5	0.38	0.13	0.88	0.16	0.7	0.16
Oklahoma_State_University	3	state	2.7	0.83	0.5	0.27	0.18	0.95	0.3	0.92	0.13
Oregon_State_University	3	state	3	0.79	0.56	0.43	0.2	0.95	0.22	0.87	0.15
Pace_University	3	private	2.3	0.77	0.53	0.41	0.01	0.69	0.18	0.77	0.08
Polytechnic_University	3	private	2.5	0.79	0.58	0.52	0.05	0.78	0.44	0.66	0.17
St._John's_University	3	private	2.8	0.84	0.69	0.33	0.11	0.73	0.16	0.8	0.12
Temple_University	3	state	2.9	0.77	0.44	0.43	0.05	0.77	0.17	0.71	0.1
Texas_Tech_University	3	state	2.7	0.79	0.48	0.24	0.17	0.96	0.21	0.7	0.31
University_of_Alabama_Birmingham	3	state	2.9	0.73	0.33	0.4	0.11	0.97	0.15	0.9	0.07
University_of_Alabama_Huntsville	3	state	2.5	0.75	0.39	0.5	0.04	0.84	0.32	0.87	0.09
University_of_Alaska_Fairbanks	3	state	2.5	0.65	0.27	0.72	0.02	0.83	0.13	0.86	NA
University_of_Arkansas	3	state	2.7	0.77	0.45	0.42	0.11	0.98	0.33	0.9	0.22
University_of_Cincinnati	3	state	2.7	0.71	0.45	0.51	0.06	NA	0.13	0.82	0.09
University_of_Hawaii_Manoa	3	state	2.6	0.8	0.54	0.55	0.09	0.97	0.3	0.71	0.09
University_of_Idaho	3	state	2.7	0.79	0.52	0.54	0.07	0.98	0.19	0.83	0.18
University_of_Illinois_Chicago	3	state	3.1	0.75	0.37	0.33	0.17	0.93	0.25	0.6	0.04
University_of_La_Verne	3	private	2	0.8	0.43	0.67	0.004	0.65	NA	0.74	0.15
University_of_Maine_Orono	3	state	2.6	0.79	0.57	0.43	0.11	0.92	0.21	0.81	0.14
U._of_Maryland_Baltimore_County	3	state	2.8	0.83	0.51	0.4	0.13	0.77	0.34	0.65	0.08
University_of_Mississippi	3	state	2.7	0.76	0.51	0.33	0.2	0.93	0.37	0.82	0.14
Univ._of_Missouri_Kansas_City	3	state	2.6	0.73	0.41	0.64	0.05	0.85	0.38	0.71	0.06
University_of_Nevada_Reno	3	state	2.5	0.77	0.48	0.34	0.12	0.95	NA	0.9	0.14
University_of_New_Mexico	3	state	3	0.71	0.4	0.4	0.15	0.85	0.2	0.69	0.1
U._of_North_Carolina_Greensboro	3	state	2.6	0.74	0.47	0.39	0.09	0.91	0.13	0.74	0.1
University_of_North_Dakota	3	state	2.5	0.77	0.48	0.37	0.1	0.92	0.17	0.59	0.14
University_of_Rhode_Island	3	state	2.8	0.78	0.57	0.33	0.08	1	0.17	0.75	0.14
Univ._of_Southern_Mississippi	3	state	2.3	0.73	0.48	0.54	0.1	0.95	0.35	0.52	0.17
University_of_South_Florida	3	state	2.6	0.78	0.44	0.29	0.11	0.92	0.22	0.58	0.06
University_of_Texas_Dallas	3	state	2.7	0.75	0.49	0.32	0.29	0.84	0.32	0.49	0.11
University_of_Wyoming	3	state	2.6	0.76	0.52	0.4	0.11	0.97	0.23	0.97	0.12
Utah_State_University	3	state	2.7	0.65	0.42	0.44	0.14	0.98	NA	0.98	0.14
Virginia_Commonwealth_University	3	state	2.9	0.77	0.39	0.52	0.06	0.84	0.15	0.76	0.11
Wayne_State_University	3	state	2.8	0.62	0.42	0.62	0.04	0.76	NA	0.78	0.11
Western_Michigan_University	3	state	2.6	0.79	0.55	0.41	0.1	0.93	0.16	0.85	0.1
West_Virginia_University	3	state	2.7	0.78	0.54	0.37	0.16	0.9	0.21	0.94	0.12
Widener_University	3	private	2.1	0.8	0.61	0.61	0	0.79	0.26	0.75	0.15
Biola_University	4	private	1.9	0.83	0.5	0.56	0.06	NA	0.38	0.82	0.14
Central_Michigan_University	4	state	2.3	0.75	0.5	0.32	0.15	0.77	0.18	0.82	0.12
Cleveland_State_University	4	state	2.1	0.62	0.27	0.39	0.12	0.78	0.07	0.86	0.05
East_Carolina_University	4	state	2.2	0.78	0.51	0.43	0.1	0.93	0.13	0.74	0.2
East_Tennessee_State_University	4	state	2	0.67	0.37	0.44	0.07	0.83	0.11	0.79	0.07
Florida_Atlantic_University	4	state	2.3	0.69	0.37	0.42	0.09	0.79	NA	0.72	0.06
Florida_International_University	4	state	2.3	0.85	0.42	0.42	0.15	0.84	0.43	0.67	0.05
Georgia_State_University	4	state	2.8	0.74	0.29	0.4	0.06	NA	0.1	0.59	0.08
Idaho_State_University	4	state	2.4	0.58	0.26	0.63	0.05	0.94	0.12	0.69	0.07
Illinois_State_University	4	state	2.4	0.77	0.55	0.32	0.08	0.9	0.1	0.76	0.09
Indiana_State_University	4	state	2.5	0.68	0.36	0.65	0.05	0.9	0.09	0.83	0.13
Indiana_U.-Purdue_U._Indianapolis	4	state	2.9	0.6	0.21	0.39	0.09	0.86	0.07	0.8	0.09
Jackson_State_University	4	state	1.9	0.72	0.32	NA	NA	0.93	NA	0.46	NA
Kent_State_University	4	state	2.6	0.76	0.42	0.46	0.08	0.76	0.1	0.92	0.09
Louisiana_Tech_University	4	state	2.3	0.76	0.51	0.41	0.11	0.95	0.36	0.93	0.15
Middle_Tennessee_State_Univ.	4	state	2.1	0.72	0.38	0.38	0.04	0.88	0.14	0.79	0.1
National-Louis_University	4	private	1.8	0.6	0.21	NA	NA	NA	NA	0.98	NA
North_Dakota_State_University	4	state	2.4	0.77	0.47	0.36	0.18	0.95	0.1	0.78	0.25
Northern_Arizona_University	4	state	2.5	0.73	0.42	0.38	0.09	0.76	0.25	0.81	0.14
Northern_Illinois_University	4	state	2.3	0.77	0.47	0.45	0.11	0.93	0.1	0.65	0.1
Nova_Southeastern_University	4	private	1.8	0.7	0.39	0.67	0.01	0.63	0.27	0.74	0.03
Oakland_University	4	state	2.3	0.75	0.39	0.39	0.15	0.79	NA	0.78	0.12
Old_Dominion_University	4	state	2.7	0.73	0.33	0.37	0.12	0.84	0.19	0.7	0.15
Portland_State_University	4	state	2.5	0.64	0.31	0.54	0.09	0.84	NA	0.86	0.09
San_Diego_State_University	4	state	2.8	0.75	0.36	0.28	0.15	0.78	NA	0.65	0.05
South_Carolina_State_University	4	state	2.2	0.79	0.47	0.51	0.02	0.9	0.06	0.4	0.07
South_Dakota_State_University	4	state	2.4	0.75	0.52	0.37	0.13	0.98	0.13	0.94	0.22
Southern_Illinois_U._Carbondale	4	state	2.6	0.7	0.41	0.48	0.09	0.94	0.1	0.71	0.09
Tennessee_State_University	4	state	2.1	0.79	0.41	0.36	0.03	0.86	NA	0.51	0.02
Texas_A&M_University_Commerce	4	state	2.2	0.62	0.34	0.54	0.04	0.81	0.14	0.6	0.01
Texas_A&M_Univ._Kingsville	4	state	2.1	0.58	0.2	0.64	0.01	0.88	0.15	1	0.08
Texas_Southern_University	4	state	2	0.63	0.08	0.41	0.19	0.9	NA	0.79	0.005
Texas_Woman's_University	4	state	2.4	0.71	0.39	0.5	0.05	0.77	NA	0.69	0.05
Union_Institute	4	private	2	0.6	0.45	1	0	0.9	NA	NA	0.01
United_States_International_U.	4	private	1.9	0.7	0.57	0.56	0.01	0.57	NA	0.62	0.02
University_of_Akron	4	state	2.2	0.7	0.38	0.4	0.04	0.72	0.11	0.9	0.1
Univ._of_Arkansas_Little_Rock	4	state	2.4	0.62	0.18	NA	NA	NA	NA	0.62	0.03
University_of_Bridgeport	4	private	1.8	0.74	0.34	0.72	0	0.54	0.17	0.8	NA
University_of_Central_Florida	4	state	2.4	0.75	0.49	0.32	0.18	0.81	0.33	0.63	0.08
University_of_Colorado_Denver	4	state	2.7	0.72	0.37	0.4	0.13	0.82	0.17	0.73	NA
University_of_Hartford	4	private	2.4	0.74	0.5	0.59	0.01	0.69	0.09	0.71	0.08
University_of_Houston	4	state	2.6	0.76	0.35	0.41	0.16	0.78	0.21	0.81	0.06
University_of_Louisiana_Lafayette	4	state	2.1	0.64	0.25	0.3	0.1	0.92	NA	0.83	0.1
University_of_Louisville	4	state	2.6	0.71	0.31	0.25	0.14	0.8	0.19	0.88	0.16
Univ._of_Massachusetts_Boston	4	state	2.6	0.69	0.25	0.57	0.03	0.77	0.12	0.59	0.05
Univ._of_Massachusetts_Lowell	4	state	2.3	0.75	0.37	NA	NA	0.79	NA	0.67	0.11
University_of_Memphis	4	state	2.4	0.72	0.33	0.41	0.1	0.81	NA	0.71	0.09
Univ._of_Missouri_St._Louis	4	state	2.5	0.62	0.37	0.4	0.07	0.74	0.2	0.57	0.06
University_of_Montana	4	state	2.6	0.71	0.4	0.45	0.11	0.89	0.13	0.86	0.27
University_of_Nevada_Las_Vegas	4	state	2.4	0.73	0.36	0.32	0.15	0.79	0.22	0.79	0.12
University_of_New_Orleans	4	state	2.4	0.66	0.21	0.39	0.08	0.87	NA	0.83	0.11
University_of_Northern_Colorado	4	state	2.3	0.68	0.44	0.29	0.17	0.89	0.12	0.79	0.12
University_of_North_Texas	4	state	2.4	0.71	0.36	0.19	0.22	0.9	0.2	0.75	0.08
University_of_South_Alabama	4	state	2.2	0.69	0.31	0.55	0.04	NA	NA	0.93	0.04
University_of_South_Dakota	4	state	2.5	0.77	0.43	NA	NA	1	0.15	0.97	0.19
University_of_Texas_Arlington	4	state	2.6	0.68	0.31	0.4	0.14	0.86	0.2	0.86	0.04
University_of_Texas_El_Paso	4	state	2.3	0.67	0.23	0.26	0.14	0.83	0.15	0.93	0.05
University_of_Toledo	4	state	2.2	0.72	0.4	0.44	0.11	0.88	0.14	0.99	0.18
Univ._of_Wisconsin_Milwaukee	4	state	2.9	0.72	0.38	NA	NA	0.81	0.09	0.8	0.06
Wichita_State_University	4	state	2.3	0.67	0.29	0.53	0.07	0.97	0.1	0.75	0.12
Wilmington_College	4	private	2.1	0.65	0.56	NA	NA	NA	NA	NA	NA
Wright_State_University	4	state	2.3	0.71	0.32	0.53	0.05	0.95	0.14	0.89	0.06
